farmer_id,farmer_name,national_id,province,region,district,cooperative,farm_size_rai,primary_crop,registration_date,status,phone
FRM-0001,ณรงค์ พิมพา,3689120466741,ระยอง,ภาคตะวันออก,อ.บ้านโฮ่ง,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,121.3,ปาล์มน้ำมัน,2020-04-05,ใช้งาน,0925641184
FRM-0002,สมชาย โชคดี,3017435138489,พัทลุง,ภาคใต้,อ.แม่ทะ,สหกรณ์การเกษตรสงขลา จำกัด,154.88,ยางพารา,2019-09-28,ใช้งาน,0916706409
FRM-0003,สุชาติ ทองแดง,4142893696110,สกลนคร,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรนครราชสีมา จำกัด,174.75,มันสำปะหลัง,2022-01-24,ใช้งาน,0936274717
FRM-0004,วิทยา สีทอง,1012534834141,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์ชาวสวนยางระยอง จำกัด,100.28,ข้าวนาปี,2017-06-25,ใช้งาน,0882547695
FRM-0005,มาลี ทองดี,9550128438223,หนองบัวลำภู,ภาคตะวันออกเฉียงเหนือ,อ.เมือง,สหกรณ์การเกษตรอุบลราชธานี จำกัด,154.34,ข้าวหอมมะลิ,2015-04-19,ใช้งาน,0947586779
FRM-0006,ฉัตรชัย เจริญสุข,4727878552768,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,144.03,ปาล์มน้ำมัน,2019-09-28,ไม่ใช้งาน,0974450312
FRM-0007,ลัดดา แสงงาม,2126246499279,นครปฐม,ภาคกลาง,อ.ป่าซาง,สหกรณ์การเกษตรเชียงราย จำกัด,119.72,ข้าวโพดเลี้ยงสัตว์,2022-09-15,ใช้งาน,0801930277
FRM-0008,วิชัย วงศ์งาม,2246959695420,พิษณุโลก,ภาคเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,59.3,ลิ้นจี่,2015-04-03,ใช้งาน,0835517190
FRM-0009,กิตติ ดวงดี,2705507142740,นครศรีธรรมราช,ภาคใต้,อ.วังเหนือ,สหกรณ์ชาวสวนยางระยอง จำกัด,87.6,ลิ้นจี่,2018-08-26,ใช้งาน,0814541466
FRM-0010,รัตนา ทรัพย์มา,2923551236702,กำแพงเพชร,ภาคเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,42.09,ลิ้นจี่,2015-07-24,ใช้งาน,0849254695
FRM-0011,ประสิทธิ์ ดีงาม,1889478745061,อำนาจเจริญ,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรเชียงราย จำกัด,193.95,ข้าวฟ่าง,2022-04-28,ใช้งาน,0863452636
FRM-0012,ศิริ วงศ์งาม,3895059794640,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,อ.วังเหนือ,สหกรณ์การเกษตรเชียงราย จำกัด,197.14,มันสำปะหลัง,2021-08-16,ใช้งาน,0922140379
FRM-0013,ปราณี โชคดี,9562955360970,บึงกาฬ,ภาคตะวันออกเฉียงเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,62.86,ข้าวนาปรัง,2021-12-24,ใช้งาน,0945544417
FRM-0014,ดวงดาว พิมพา,1997108581093,แม่ฮ่องสอน,ภาคเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรนครราชสีมา จำกัด,171.01,ข้าวนาปี,2020-01-02,ใช้งาน,0981250988
