shipment_id,warehouse_id,customer_id,crop_id,shipment_date,delivery_date,status,total_weight_kg,shipping_cost_thb,transport_mode,driver_name,vehicle_plate
SHP-000001,WH-008,CUS-0104,CRP-004,2023-12-25,2023-12-26,จัดส่งแล้ว,28648.76,27968.65,เรือ,ฉัตรชัย มั่งมี,ขข-3261 กทม
SHP-000002,WH-013,CUS-0079,CRP-005,2021-03-24,,รอดำเนินการ,17531.36,35394.85,เรือ,ธวัช ดีงาม,ขข-9367 สข
SHP-000003,WH-007,CUS-0154,CRP-002,2022-10-28,,รอดำเนินการ,5682.8,13636.52,รถไฟ,ปิยะ สมบูรณ์,กก-4086 กทม
SHP-000004,WH-012,CUS-0030,CRP-014,2024-12-26,2025-01-01,จัดส่งแล้ว,17763.59,38778.89,เรือ,มณีรัตน์ เกษตรดี,งง-8064 ขก
SHP-000005,WH-007,CUS-0162,CRP-006,2024-01-11,2024-01-12,จัดส่งแล้ว,16040.77,36494.46,รถบรรทุก,ธนกร สาระ,งง-4541 ขก
SHP-000006,WH-004,CUS-0089,CRP-010,2021-06-06,2021-06-11,กำลังขนส่ง,23457.18,17579.05,รถบรรทุก,บุญมา มงคล,ชช-9130 กทม
SHP-000007,WH-002,CUS-0005,CRP-008,2025-09-24,2025-09-28,จัดส่งแล้ว,16514.99,22233.29,รถบรรทุก,ปรียา มงคล,งง-9787 กทม
SHP-000008,WH-005,CUS-0036,CRP-005,2023-09-10,2023-09-13,จัดส่งแล้ว,13466.78,9807.31,รถบรรทุก,นฤมล ดีงาม,ขข-6876 ชม
SHP-000009,WH-005,CUS-0022,CRP-010,2023-11-09,2023-11-14,จัดส่งแล้ว,19486.9,12107.34,รถไฟ,วีระ ดาวเรือง,ชช-4233 สข
SHP-000010,WH-006,CUS-0101,CRP-010,2021-11-18,2021-12-01,จัดส่งแล้ว,21946.72,34349.68,รถบรรทุก,นงลักษณ์ ทรัพย์มา,งง-1736 ชม
SHP-000011,WH-006,CUS-0079,CRP-005,2022-01-17,2022-01-19,จัดส่งแล้ว,10278.16,19165.84,รถบรรทุก,นิตยา รุ่งโรจน์,กก-2054 สข
SHP-000012,WH-011,CUS-0179,CRP-014,2023-01-06,2023-01-09,ยกเลิก,22211.81,35375.23,รถบรรทุก,ยุทธนา ทองแดง,กก-3570 ชม
SHP-000013,WH-004,CUS-0085,CRP-009,2022-06-01,2022-06-13,จัดส่งแล้ว,17577.49,32205.24,รถบรรทุก,เอกชัย แสงงาม,ขข-9820 สข
SHP-000014,WH-003,CUS-0172,CRP-014,2022-01-05,2022-01-17,จัดส่งแล้ว,17684.02,37657.74,เรือ,ศิริ โชคดี,ชช-9536 กทม
SHP-000015,WH-004,CUS-0001,CRP-003,2024-01-21,2024-02-03,จัดส่งแล้ว,28637.63,44353.95,รถบรรทุก,ชัยวัฒน์ สาระ,ฉฉ-4034 กทม
SHP-000016,WH-009,CUS-0147,CRP-015,2022-12-09,2022-12-19,กำลังขนส่ง,13772.11,29103.75,เรือ,ธนกร ทองแดง,ฉฉ-1385 กทม
SHP-000017,WH-007,CUS-0181,CRP-008,2021-07-08,2021-07-15,จัดส่งแล้ว,16732.99,17576.76,รถบรรทุก,อาทิตย์ ชูชื่น,ฉฉ-2859 ขก
SHP-000018,WH-011,CUS-0022,CRP-003,2023-10-13,2023-10-18,จัดส่งแล้ว,2758.44,2154.86,รถบรรทุก,นิตยา รุ่งโรจน์,ชช-9999 สง
SHP-000019,WH-014,CUS-0093,CRP-010,2022-08-20,2022-09-02,จัดส่งแล้ว,26788.24,25609.6,รถบรรทุก,ลัดดา พันธ์ดี,งง-6590 กทม
SHP-000020,WH-001,CUS-0073,CRP-014,2023-03-18,2023-04-01,กำลังขนส่ง,2793.31,2772.26,รถบรรทุก,วีระ พิมพา,กก-4660 ขก
SHP-000021,WH-012,CUS-0088,CRP-001,2024-07-29,2024-08-08,จัดส่งแล้ว,2479.62,4677.48,เรือ,ปรียา ดำรง,กก-3109 ขก
SHP-000022,WH-004,CUS-0167,CRP-007,2022-11-14,2022-11-17,จัดส่งแล้ว,28340.08,16750.2,รถบรรทุก,ปิยะ มงคล,ขข-2426 สข
SHP-000023,WH-009,CUS-0090,CRP-014,2025-04-25,2025-05-01,จัดส่งแล้ว,27278.76,40561.47,รถบรรทุก,ชาญชัย สาระ,ฉฉ-7968 ชม
SHP-000024,WH-007,CUS-0069,CRP-001,2023-07-03,2023-07-16,จัดส่งแล้ว,22092.24,52179.57,เรือ,ปิยะ ดำรง,ฉฉ-5413 สข
SHP-000025,WH-002,CUS-0056,CRP-001,2021-12-10,2021-12-15,จัดส่งแล้ว,1338.82,2352.43,รถบรรทุก,มณีรัตน์ สมบูรณ์,ขข-4639 ชม
SHP-000026,WH-015,CUS-0135,CRP-012,2021-07-14,2021-07-20,จัดส่งแล้ว,26715.91,61900.76,รถบรรทุก,สุดา ดีงาม,ฉฉ-8752 กทม
SHP-000027,WH-009,CUS-0154,CRP-001,2024-01-10,2024-01-14,จัดส่งแล้ว,628.11,401.65,รถไฟ,นภา สีทอง,งง-4952 กทม
SHP-000028,WH-009,CUS-0029,CRP-012,2021-07-15,2021-07-18,จัดส่งแล้ว,25808.4,21954.99,รถบรรทุก,บุญมา บุญมา,ฉฉ-4693 สข
SHP-000029,WH-007,CUS-0067,CRP-009,2025-12-04,2025-12-10,กำลังขนส่ง,23637.42,25518.85,รถไฟ,นภา มีสุข,ขข-2735 กทม
SHP-000030,WH-002,CUS-0069,CRP-002,2025-10-08,2025-10-09,จัดส่งแล้ว,1131.89,1625.62,รถไฟ,ธวัช เกษตรดี,ฉฉ-3442 สง
SHP-000031,WH-004,CUS-0116,CRP-008,2024-05-13,2024-05-16,จัดส่งแล้ว,5765.21,3990.47,เรือ,สุนิสา พันธ์ดี,งง-1566 สข
SHP-000032,WH-004,CUS-0035,CRP-012,2023-02-14,,รอดำเนินการ,11660.18,7639.6,เรือ,ยุทธนา สาระ,ขข-4715 ขก
SHP-000033,WH-012,CUS-0092,CRP-006,2021-06-14,2021-06-18,กำลังขนส่ง,21726.98,37379.18,เรือ,สมพงษ์ มีสุข,ขข-3059 กทม
SHP-000034,WH-003,CUS-0125,CRP-007,2023-06-15,,รอดำเนินการ,13576.4,7730.0,เรือ,ณรงค์ เจริญสุข,กก-9780 สข
SHP-000035,WH-004,CUS-0039,CRP-005,2021-02-22,2021-02-26,จัดส่งแล้ว,8415.58,13484.31,รถบรรทุก,ณรงค์ ฤทธิ์ไกร,ชช-6640 กทม
SHP-000036,WH-002,CUS-0171,CRP-014,2024-04-14,,รอดำเนินการ,1129.94,1495.56,รถบรรทุก,ศิริ เกษตรดี,ขข-6201 สข
SHP-000037,WH-005,CUS-0071,CRP-004,2022-07-28,2022-08-04,จัดส่งแล้ว,18657.29,42343.48,รถบรรทุก,นิตยา มีสุข,กก-1216 ขก
SHP-000038,WH-010,CUS-0167,CRP-013,2023-03-03,2023-03-12,จัดส่งแล้ว,28938.65,71042.82,เรือ,อาทิตย์ ชูชื่น,งง-3087 สง
SHP-000039,WH-002,CUS-0106,CRP-004,2022-03-01,2022-03-10,จัดส่งแล้ว,9990.97,18581.79,รถบรรทุก,อาทิตย์ บุญมา,ฉฉ-2692 กทม
SHP-000040,WH-015,CUS-0026,CRP-006,2023-07-14,2023-07-26,จัดส่งแล้ว,29290.23,32747.04,เรือ,นฤมล ทรัพย์มา,งง-6654 ชม
SHP-000041,WH-014,CUS-0074,CRP-008,2025-08-11,2025-08-21,จัดส่งแล้ว,11757.89,15236.42,รถบรรทุก,สุรศักดิ์ สุขใจ,ฉฉ-9766 สข
SHP-000042,WH-014,CUS-0145,CRP-013,2025-06-25,2025-06-28,จัดส่งแล้ว,23261.91,29360.95,รถไฟ,สายฝน มั่งมี,ชช-1003 สง
SHP-000043,WH-010,CUS-0143,CRP-009,2025-12-06,2025-12-10,จัดส่งแล้ว,11208.82,27180.96,รถไฟ,ชัยวัฒน์ เพชรดี,กก-2024 สง
SHP-000044,WH-014,CUS-0035,CRP-015,2021-04-02,,รอดำเนินการ,17023.08,25196.66,เรือ,นภา รักษ์ดี,กก-4937 สข
